uuid,title_en,title_fr,short_form_en,short_form_fr,department_number,umd_number,open_canada_id
261f1df4-dd3a-4dad-939b-55b4f2853fbb,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,CNSC,CCSN,58,29,cnsc-ccsn
caf50f1c-fb5f-40c9-bb77-3946d1505a59,Canadian Race Relations Foundation,La Fondation Canadienne des relations raciales,crrf,fcrr,0003,169,crrf-fcrr
dfdd27dd-1be6-4735-a763-f3d3360a46fe,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,CRTC,CRTC,126,106,crtc
f06cf54b-f618-4358-8f47-82b54d2979b7,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,CSIS,SCRS,90,28,csis-scrs
95f65cf9-ed6a-4630-9c1a-8339fdb15cf0,Canadian Space Agency,Agence spatiale canadienne,CSA,ASC,3,25,csa-asc
18cecf2c-de86-43e2-8b4d-5b1e4c9edd84,Canadian Transportation Agency,Office des transports du Canada,CTA,OTC,124,4,cta-otc
35e24585-b7b9-4def-a1be-93a185744753,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,CPC,CPP,136,104,cpc-cpp
e00ab53e-f10b-434d-9378-e9ccf074e03e,College of Immigration and Citizenship Consultants,Collège des Consultants en Immigration et en Citoyenneté,CICC,CCIC,,,cicc-ccic
0fe663a9-16ea-41da-b776-3e02b7a966bf,College of Patent Agents and Trademark Agents,Collège des agents de brevets et des agents de marques de commerce,CPATA,CABAMC,,,cpata-cabamc
c89ad83c-474e-4751-bba9-07c979fc8944,Commissioner of Canada Elections,Commissaire aux élections fédérales,OCCE,BCEF,,,occe-bcef
321f1015-551d-45a0-b1b7-c1fdfcb20f66,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,CSEC,CSTC,156,27,csec-cstc
e61655c2-5186-46ab-b856-8343c3c04a2e,Competition Tribunal,Tribunal de la concurrence,CT,TC,,331,ct-tc
0560b521-a423-4a01-a993-f8aa2ea353f5,Copyright Board Canada,Commission du droit d'auteur du Canada,CB,CDA,116,22,cb-cda
82a8e35c-fedb-4153-b66f-885494b3e9ec,Corporation for the Mitigation of Mackenzie Gas Project Impacts,Société d'atténuation des répercussions du projet gazier Mackenzie,CMMGPI,SARPGM,1,314,cmmgpi-sarpgm
3eee5483-9b34-492d-ae39-3c378f3c2354,Correctional Service of Canada,Service correctionnel du Canada,CSC,SCC,193,88,csc-scc
4efc4a27-695b-4ab7-b25d-252b3d85fe2d,Courts Administration Service,Service administratif des tribunaux judiciaires,CAS,SATJ,228,11,cas-satj
d54c8e31-8f3e-46c5-bdc5-d22bc553cbc2,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,CIRNAC,RCAANC,249,57,aandc-aadnc
dfd345ad-4b40-4eb7-b03c-9533c1989742,Datura Private Investments Inc.,Datura Private Investments Inc.,DPI,DPI,,492,dpi
aa37fa1c-bc8c-4196-9ac2-33b873c8c7a7,Defence Construction Canada,Construction de Défense Canada,DCC,CDC,28,176,dcc-cdc
b274ff8b-610b-5f1c-b4f1-468247206108,Defence Research and Development Canada,Recherche et développement pour la Défense Canada,DRDC,RDDC,65656,274,drdc-rddc
05d03dcb-5906-4555-a5a1-84d86e9e94dd,Department of Finance Canada,Ministère des Finances Canada,FIN,FIN,157,44,fin
5f70b0df-d227-47ef-81fe-eb3a47c4ff0a,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,119,69,jus
2eb3b7d5-68ef-45f1-b962-f5014140b636,Deputy Prime Minister and Minister of Finance,Vice-première ministre et ministre des Finances,DPM,VPM,,,dpm-vpm
d34a790c-a2e2-48c1-80d8-705205e3d979,Destination Canada,Destination Canada,CTC,CCT,178,170,ctc-cct
7c6702ac-52b0-42e0-adab-0b5e09818e83,Development Finance Institution - FinDev Canada,Institution de financement du développement - FinDev Canada,DFI,IFD,,,dfi-ifd
177f4c5d-5eb5-469f-b0db-7cbf3cc313f9,Elections Canada,Élections Canada,elections,elections,285,14,elections
055adcd8-8fda-40da-a5b7-689ff7db57a6,Employment and Social Development Canada,Emploi et Développement social Canada,ESDC,EDSC,141,26,esdc-edsc
83d10e21-5c8f-4274-be3b-5208cd754c44,Energy Supplies Allocation Board,Office de répartition des approvisionnements d'énergie,ESAB,ORAD,,40,esab-orad
5bda4bd0-a57d-4cff-9dcb-51b9abd7f5a4,Enterprise Cape Breton Corporation,Société d'expansion du Cap-Breton,ECBC,SECB,203,315,ecbc-secb
49e2adf4-ad7a-43eb-85c8-6433d37ed62c,Environment and Climate Change Canada,Environnement et Changement climatique Canada,EC,EC,99,33,ec
e6f849ef-44dd-453a-91dc-219cd93a7dff,Exinvest Inc.,Exinvest Inc.,EXI,EXI,,483,exi
978e1bc5-401f-4af2-a8a5-bfbbef62c818,Export Development Canada,Exportation et développement Canada,EDC,EDC,62,179,edc
c0afabdb-3b37-4d0a-b45c-5a507a895b94,External User,Utilisateur externe,EU,Ue,,,external-externe
