gc_orgID,Parent GC OrgID,Harmonized GC Name ,lead department,ministère responsable,gc_orgID.1
2310,2232,Law Commission of Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0
3571,2232,Office of the Federal Ombudsperson for Victims Of Crime,Department of Justice Canada,Ministère de la Justice Canada,2232.0
3683,2232,Canadian Human Rights Tribunal,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2232,2232,Department of Justice Canada,Department of Justice Canada,Ministère de la Justice Canada,2232.0
2305,2229,Canadian Centre for Occupational Health and Safety,Employment and Social Development Canada,Emploi et Développement social Canada,2229.0
3680,2229,Canada Industrial Relations Board,Employment and Social Development Canada,Emploi et Développement social Canada,2229.0
2233,2233,National Defence,National Defence,Défense nationale,2233.0
2253,2233,Communications Security Establishment Canada,National Defence,Défense nationale,2233.0
2263,2233,Military Grievances External Review Committee,National Defence,Défense nationale,2233.0
2264,2233,Military Police Complaints Commission of Canada,National Defence,Défense nationale,2233.0
3535,2233,Canadian Forces Housing Agency,National Defence,Défense nationale,2233.0
3540,2233,Defence Research and Development Canada,National Defence,Défense nationale,2233.0
3557,2233,Canadian Armed Forces,National Defence,Défense nationale,2233.0
2303,2303,Canada Revenue Agency,Canada Revenue Agency,Agence du revenu du Canada,2303.0
3594,2303,Office of the Taxpayers' Ombudsperson,Canada Revenue Agency,Agence du revenu du Canada,2303.0
2268,2234,Northern Pipeline Agency Canada,Natural Resources Canada,Ressources naturelles Canada,2234.0
2308,2234,Canadian Nuclear Safety Commission,Natural Resources Canada,Ressources naturelles Canada,2234.0
2312,2234,Canada Energy Regulator,Natural Resources Canada,Ressources naturelles Canada,2234.0
3424,2234,Energy Supplies Allocation Board,Natural Resources Canada,Ressources naturelles Canada,2234.0
3649,2234,Atomic Energy of Canada Limited,Natural Resources Canada,Ressources naturelles Canada,2234.0
2240,m0035,Prairies Economic Development Canada,Minister of Sport,Ministre des Sports,
2249,m0024,Canadian Northern Economic Development Agency,Minister of Crown-Indigenous Relations and Northern Affairs,Ministre des Relations Couronne-Autochtones et des Affaires du Nord,
3587,2284,Public Servants Disclosure Protection Tribunal Canada,Privy Council Office,Bureau du Conseil privé,2284.0
2275,2284,Office of the Intelligence Commissioner,Privy Council Office,Bureau du Conseil privé,2284.0
2278,2284,Office of the Secretary to the Governor General,Privy Council Office,Bureau du Conseil privé,2284.0
2284,2284,Privy Council Office,Privy Council Office,Bureau du Conseil privé,2284.0
2286,2284,Public Service Commission of Canada,Privy Council Office,Bureau du Conseil privé,2284.0
2291,2284,National Security and Intelligence Review Agency Secretariat,Privy Council Office,Bureau du Conseil privé,2284.0
2295,2284,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Privy Council Office,Bureau du Conseil privé,2284.0
2309,2284,Transportation Safety Board of Canada,Privy Council Office,Bureau du Conseil privé,2284.0
3586,2284,Prime Minister of Canada,Privy Council Office,Bureau du Conseil privé,2284.0
2235,2235,Public Safety Canada,Public Safety Canada,Sécurité publique Canada,2235.0
2248,2284,Canadian Intergovernmental Conference Secretariat,Privy Council Office,Bureau du Conseil privé,2284.0
2250,2235,Canadian Security Intelligence Service,Public Safety Canada,Sécurité publique Canada,2235.0
2255,2235,Correctional Service Canada,Public Safety Canada,Sécurité publique Canada,2235.0
2267,2235,Parole Board of Canada,Public Safety Canada,Sécurité publique Canada,2235.0
2274,2284,Office of the Commissioner of Official Languages,Privy Council Office,Bureau du Conseil privé,2284.0
2276,2235,The Correctional Investigator Canada,Public Safety Canada,Sécurité publique Canada,2235.0
2288,2235,Royal Canadian Mounted Police,Public Safety Canada,Sécurité publique Canada,2235.0
2289,2235,RCMP External Review Committee,Public Safety Canada,Sécurité publique Canada,2235.0
2290,2235,Civilian Review and Complaints Commission for the RCMP,Public Safety Canada,Sécurité publique Canada,2235.0
2296,2284,Leaders’ Debates Commission,Privy Council Office,Bureau du Conseil privé,2284.0
2300,2235,Canada Border Services Agency,Public Safety Canada,Sécurité publique Canada,2235.0
3539,2235,CORCAN,Public Safety Canada,Sécurité publique Canada,2235.0
2236,2236,Public Services and Procurement Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
2292,2236,Shared Services Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
3544,2236,Translation Bureau,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
3585,2236,Office of the Procurement Ombudsman,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
3650,2236,Canada Lands Company Limited,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
3651,2236,Canada Post,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
3652,2236,Defence Construction Canada,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
3653,2236,National Capital Commission,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,2236.0
2244,m0019,Atlantic Canada Opportunities Agency,Minister responsible for the Atlantic Canada Opportunities Agency,Ministre responsable de l’Agence de promotion économique du Canada atlantique,
2257,m0026,Canada Economic Development for Quebec Regions,Minister of Tourism,Ministre du Tourisme,
2238,2238,Transport Canada,Transport Canada,Transports Canada,2238.0
2252,2238,Canadian Transportation Agency,Transport Canada,Transports Canada,2238.0
3654,2238,Atlantic Pilotage Authority Canada,Transport Canada,Transports Canada,2238.0
3655,2238,Canadian Air Transport Security Authority,Transport Canada,Transports Canada,2238.0
3656,2238,Great Lakes Pilotage Authority Canada,Transport Canada,Transports Canada,2238.0
3657,2238,Laurentian Pilotage Authority Canada,Transport Canada,Transports Canada,2238.0
3658,2238,Marine Atlantic Inc.,Transport Canada,Transports Canada,2238.0
3659,2238,Pacific Pilotage Authority Canada,Transport Canada,Transports Canada,2238.0
3660,2238,Ridley Terminals Inc.,Transport Canada,Transports Canada,2238.0
3661,2238,Federal Bridge Corporation,Transport Canada,Transports Canada,2238.0
3662,2238,VIA Rail Canada Inc.,Transport Canada,Transports Canada,2238.0
3697,2238,Transportation Appeal Tribunal of Canada,Transport Canada,Transports Canada,2238.0
2242,2242,Treasury Board of Canada Secretariat,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0
2273,2242,Office of the Commissioner of Lobbying of Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0
2279,2242,Office of the Public Sector Integrity Commissioner of Canada,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0
2304,2242,Canada School of Public Service,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0
3663,2242,Public Sector Pension Investment Board,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,2242.0
2294,2239,Veterans Review and Appeal Board,Veterans Affairs Canada,Anciens Combattants Canada,2239.0
3595,2239,Office of the Veterans' Ombudsman,Veterans Affairs Canada,Anciens Combattants Canada,2239.0
2239,2239,Veterans Affairs Canada,Veterans Affairs Canada,Anciens Combattants Canada,2239.0
2241,2241,Women and Gender Equality Canada,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,2241.0
