RGOriginalName,MatchedName,MatchScore,ManualMatch,FinalMatch,GC OrgID_x,Organization Legal Name French_x,Updated Organization Legal Name English,GC OrgID_y,Organization Legal Name French_y,Updated GC OrgID,Updated Organization Legal Name French
Canadian Heritage (Department of),Department of Canadian Heritage,95,nan,nan,2223,Ministère du Patrimoine canadien,,,,,
Canadian Food Inspection Agency,Canadian Food Inspection Agency,100,nan,nan,2306,Agence canadienne d’inspection des aliments,,,,,
Military Police Complaints Commission,Military Police Complaints Commission,100,nan,nan,2264,Commission d’examen des plaintes concernant la police militaire,,,,,
Military Grievances External Review Committee,Military Grievances External Review Committee,100,nan,nan,2263,Comité externe d'examen des griefs militaires,,,,,
Financial Transactions and Reports Analysis Centre of Canada,Financial Transactions and Reports Analysis Centre of Canada,100,nan,nan,2260,Centre d’analyse des opérations et déclarations financières du Canada,,,,,
Financial Consumer Agency of Canada,Financial Consumer Agency of Canada,100,nan,nan,2259,Agence de la consommation en matière financière du Canada,,,,,
Office of Infrastructure of Canada,Bank of Canada,86,nan,nan,3633,Banque du Canada,,,,,
Courts Administration Service,Courts Administration Service,100,nan,nan,2256,Service administratif des tribunaux judiciaires,,,,,
Library and Archives of Canada,Library and Archives of Canada,100,nan,nan,2262,Bibliothèque et Archives du Canada,,,,,
Office of the Conflict of Interest and Ethics Commissioner,Office of the Conflict of Interest and Ethics Commissioner,100,nan,nan,3430,Commissariat aux conflits d'intérêts et à l'éthique,,,,,
Public Health Agency of Canada,Public Health Agency of Canada,100,nan,nan,2285,Agence de la santé publique du Canada,,,,,
Office of the Senate Ethics Officer,Senate,90,nan,nan,3432,Sénat,,,,,
Office of the Commissioner of Lobbying,Office of the Commissioner of Lobbying,100,nan,nan,2273,Commissariat au lobbying,,,,,
Shared Services Canada,Shared Services Canada,100,nan,nan,2292,Services partagés Canada,,,,,
Communications Security Establishment,Communications Security Establishment,100,nan,nan,2253,Centre de la sécurité des télécommunications,,,,,
Administrative Tribunals Support Service of Canada,Administrative Tribunals Support Service of Canada,100,nan,nan,2297,Service canadien d'appui aux tribunaux administratifs,,,,,
Canadian High Arctic Research Station,Canadian High Arctic Research Station,100,nan,nan,2318,Station canadienne de recherche dans l’Extrême-Arctique,,,,,
Parliamentary Protective Service,Parliamentary Protective Service,100,nan,nan,3434,Service de protection parlementaire,,,,,
Invest in Canada Hub,Invest in Canada Hub,100,nan,nan,2317,Investir au Canada,,,,,
Office of the Parliamentary Budget Officer,Office of the Parliamentary Budget Officer,100,nan,nan,3433,Bureau du directeur parlementaire du budget,,,,,
Department for Women and Gender Equality,Department for Women and Gender Equality,100,nan,nan,2241,Ministère des Femmes et de l’Égalité des genres,,,,,
Department of Indigenous Services,Department of Indigenous Services,100,nan,nan,2243,Ministère des Services aux Autochtones,,,,,
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secretariat of the National Security and Intelligence Committee of Parliamentarians,100,nan,nan,2295,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,,,,,
Leaders' Debates Commission,Leaders’ Debates Commission,100,nan,nan,2296,Commission des débats des chefs,,,,,
Canadian Energy Regulator,Canadian Energy Regulator,100,nan,nan,2312,Régie canadienne de l’énergie,,,,,
National Security and Intelligence Review Agency Secretariat,National Security and Intelligence Review Agency Secretariat,100,nan,nan,2291,Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement,,,,,
Office of the Intelligence Commissioner,Office of the Intelligence Commissioner,100,nan,nan,2275,Bureau du commissaire au renseignement,,,,,
Canadian Accessibility Standards Development Organization,Canadian Accessibility Standards Development Organization,100,nan,nan,2319,Organisation canadienne d’élaboration de normes d’accessibilité,,,,,
Federal Economic Development Agency for Northern Ontario,Federal Economic Development Agency for Northern Ontario,100,nan,nan,2299,Agence fédérale de développement économique pour le Nord de l’Ontario,,,,,
