GC OrgID,legal_title,appellation_légale,FAA_LGFP,preferred_name,nom_préféré,abbreviation,abreviation,status_statut,end_date_fin,harmonized_name,nom_harmonisé
2287,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada,,,,,,a,,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada
2288,Royal Canadian Mounted Police,Gendarmerie royale du Canada,i1,,,RCMP,GRC,a,,Royal Canadian Mounted Police,Gendarmerie royale du Canada
2289,Royal Canadian Mounted Police External Review Committee,Comité externe d'examen de la Gendarmerie royale du Canada,i1,RCMP External Review Committee,Comité externe d'examen de la GRC,ERC,CEE,a,,RCMP External Review Committee,Comité externe d'examen de la GRC
2290,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,i1,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC,CRCC,CCETP,a,,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la GRC
2291,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,i1,,,,,a,,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement
2292,Shared Services Canada,Services partagés Canada,i1,Shared Services Canada,Services partagés Canada,SSC,SPC,a,,Shared Services Canada,Services partagés Canada
2293,Statistics Canada,Statistique Canada,i1,Statistics Canada,Statistique Canada,StatCan,StatCan,a,,Statistics Canada,Statistique Canada
2294,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),i1,,,VRAB,TACRA,a,,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel)
2295,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,i1,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,SNSICP,SCPSNR,a,,Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement
2296,Leaders' Debates Commission,Commission des débats des chefs,i1,,,,,a,,Leaders' Debates Commission,Commission des débats des chefs
2297,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,i1,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,ATSSC,SCDATA,a,,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2298,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada,i1,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,PacifiCan,PacifiCan,a,,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique
2299,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,i1,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,FedNor,FedNor,a,,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario
2300,Canada Border Services Agency,Agence des services frontaliers du Canada,4,Canada Border Services Agency,Agence des services frontaliers du Canada,CBSA,ASFC,a,,Canada Border Services Agency,Agence des services frontaliers du Canada
2301,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions,4,,,,,a,,Canada Emission Reduction Incentives Agency,Agence canadienne pour l'incitation à la réduction des émissions
2302,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,2,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada,CEIC,CAEC,a,,Canada Employment Insurance Commission,Commission de l'assurance-emploi du Canada
2303,Canada Revenue Agency,Agence du revenu du Canada,2,,,CRA,ARC,a,,Canada Revenue Agency,Agence du revenu du Canada
2304,Canada School of Public Service,École de la fonction publique du Canada,4,,,CSPS,EFPC,a,,Canada School of Public Service,École de la fonction publique du Canada
2305,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,2,,,CCOHS,CCHST,a,,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2306,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,2,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,CFIA,ACIA,a,,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments
2307,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,2,,,CIHR,IRSC,a,,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada
2308,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,2,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,CNSC,CCSN,a,,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
2309,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports,4,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,TSB,BST,a,,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada
2310,Law Commission of Canada,Commission du droit du Canada,4,Law Commission of Canada,Commission du droit du Canada,,,a,,Law Commission of Canada,Commission du droit du Canada
2311,The National Battlefields Commission,Commission des champs de bataille nationaux,2,The National Battlefields Commission,Commission des champs de bataille nationaux,NBC,CCBN,a,,The National Battlefields Commission,Commission des champs de bataille nationaux
2312,Canadian Energy Regulator,Régie canadienne de l'énergie,2,Canada Energy Regulator,Régie de l'énergie du Canada,CER,REC,a,,Canada Energy Regulator,Régie de l'énergie du Canada
2313,National Research Council of Canada,Conseil national de recherches du Canada,2,National Research Council Canada,Conseil national de recherches Canada,NRC,CNRC,a,,National Research Council Canada,Conseil national de recherches Canada
2314,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie,2,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,NSERC,CRSNG,a,,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
2315,Parks Canada Agency,Agence Parcs Canada,2,Parks Canada,Parcs Canada,PC,PC,a,,Parks Canada,Parcs Canada
2316,Social Sciences and Humanities Research Council,Conseil de recherches en sciences humaines,2,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,SSHRC,CRSH,a,,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada
2317,Invest in Canada Hub,Investir au Canada,2,,,,,a,,Invest in Canada Hub,Investir au Canada
2318,Canadian High Arctic Research Station,Station canadienne de recherche dans l'Extrême-Arctique,2,Polar Knowledge Canada,Savoir polaire Canada,POLAR,POLAIRE,a,,Polar Knowledge Canada,Savoir polaire Canada
2319,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité,4,Accessibility Standards Canada,Normes d'accessibilité Canada,ASC,NAC,a,,Accessibility Standards Canada,Normes d'accessibilité Canada
2396,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,i1,,,,,a,,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
