GC OrgID,Organization Legal Name English,Organization Legal Name French,French Name,FAA,Original English Name,Names Match
3415.0,Lower Churchill Development Corporation Limited,Lower Churchill Development Corporation Limited,,,,0
3578.0,Management Advisory Board for the RCMP,Conseil consultatif de gestion pour la GRC,,,,0
3658.0,Marine Atlantic Inc.,Marine Atlantique S.C.C.,Marine Atlantique S.C.C.,3,Marine Atlantic Inc.,0
3474.0,Maritime Forestry Complex Corporation,Société du complexe forestier des Maritimes,,,,0
3542.0,Measurement Canada,Mesures Canada,,,,0
3475.0,Mental Health Commission of Canada (MHCC),Commission de la santé mentale du Canada (CSMC),,,,0
3674.0,Merchant Seamen Compensation Board,Commission d'indemnisation des marins marchands,,,,0
3476.0,Milit-Air Inc.,Milit-Air Inc.,,,,0
2263.0,Military Grievances External Review Committee,Comité externe d'examen des griefs militaires,Comité externe d'examen des griefs militaires,4,Military Grievances External Review Committee,0
2264.0,Military Police Complaints Commission,Commission d'examen des plaintes concernant la police militaire,Commission d'examen des plaintes concernant la police militaire,4,Military Police Complaints Commission,0
3477.0,Montréal Port Authority,Administration portuaire de Montréal,,,,0
3411.0,Multilateral Investment Guarantee Agency,Agence multilatérale de garantie des investissements,,,,0
3480.0,NAV CANADA,NAV CANADA,,,,0
3478.0,Nanaimo Port Authority,Administration portuaire de Nanaimo,,,,0
3608.0,National Advisory Council on Aging,Conseil consultatif national sur le troisième âge,,,,0
3609.0,National Advisory Council on Poverty,Conseil national du Bien-être,,,,0
3625.0,National Arts Centre Corporation,Société du Centre national des Arts,,,,0
3653.0,National Capital Commission,Commission de la capitale nationale,Commission de la capitale nationale,3,National Capital Commission,0
2265.0,National Farm Products Council,Conseil national des produits agricoles,Conseil national des produits agricoles,4,National Farm Products Council,0
2266.0,National Film Board,Office national du film,Office national du film,i1,National Film Board,0
3626.0,National Gallery of Canada,Musée des beaux-arts du Canada,Musée des beaux-arts du Canada,3,National Gallery of Canada,0
3627.0,National Museum of Science and Technology,Musée national des sciences et de la technologie,Musée national des sciences et de la technologie,3,National Museum of Science and Technology,0
2313.0,National Research Council of Canada,Conseil national de recherches du Canada,Conseil national de recherches du Canada,2,National Research Council of Canada,0
3675.0,National Round Table on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie,,,,0
3579.0,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,,,,0
2291.0,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement,i1,National Security and Intelligence Review Agency Secretariat,0
3580.0,National Seniors Council,Conseil national des aînés,,,,0
2314.0,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie,Conseil de recherches en sciences naturelles et en génie,2,Natural Sciences and Engineering Research Council,0
3479.0,"Nature Trust of British Columbia, The","Nature Trust of British Columbia, The",,,,0
3416.0,North Portage Development Corporation (operating as The Forks North Portage Partnership),North Portage Development Corporation (exploitée sous le nom de The Forks North Portage Partnership),,,,0
2268.0,Northern Pipeline Agency,Administration du pipe-line du Nord,Administration du pipe-line du Nord,i1,Northern Pipeline Agency,0
3581.0,Occupational Health and Safety Tribunal Canada,Tribunal de santé et sécurité au travail Canada,,,,0
2270.0,Office of the Auditor General,Bureau du vérificateur général,Bureau du vérificateur général,i1,Office of the Auditor General,0
2271.0,Office of the Chief Electoral Officer,Bureau du directeur général des élections,Bureau du directeur général des élections,4,Office of the Chief Electoral Officer,0
3582.0,Office of the Chief Military Judge,Le cabinet du juge militaire en chef,,,,0
3611.0,Office of the Chief Science Advisor of Canada,Bureau du conseiller scientifique en chef du Canada,,,,0
2272.0,Office of the Commissioner for Federal Judicial Affairs,Commissariat à la magistrature fédérale,Bureau du commissaire à la magistrature fédérale,4,Office of the Commissioner for Federal Judicial Affairs,0
2273.0,Office of the Commissioner of Lobbying,Commissariat au lobbying,Commissariat au lobbying,4,Office of the Commissioner of Lobbying,0
