GC OrgID,Organization Legal Name English,Organization Legal Name French,Unnamed: 0,French Name,FAA
3420.0,Commissioner of Canada Election,Commissaire aux élections fédérales,,,
3417.0,Communication Canada,Communication Canada,18.0,Communication Canada,4
3562.0,Communications Research Centre Canada,Centre de recherches sur les communications Canada,,,
2253.0,Communications Security Establishment,Centre de la sécurité des télécommunications,12.0,Centre de la sécurité des télécommunications,i1
3563.0,Competition Bureau Canada,Bureau de la concurrence Canada,,,
3564.0,Competition Tribunal,Tribunal de la concurrence,,,
3545.0,Consulting and Audit Canada Revolving Fund,Fonds renouvelable de Conseils et Vérification Canada,,,
2254.0,Copyright Board,Commission du droit d’auteur,19.0,Commission du droit d’auteur,4
3667.0,Corporation for the Mitigation of Mackenzie Gas Project Impacts,Société d’atténuation des répercussions du projet gazier Mackenzie,,,
2255.0,Correctional Service of Canada,Service correctionnel du Canada,20.0,Service correctionnel du Canada,4
3565.0,Court Martial Appeal Court of Canada,Cour d'appel de la cour martiale du Canada,,,
2256.0,Courts Administration Service,Service administratif des tribunaux judiciaires,21.0,Service administratif des tribunaux judiciaires,4
3652.0,Defence Construction (1951) Limited,Construction de Défense (1951) Limitée,16.0,Construction de défense (1951) Limitée,3
3540.0,Defence Research and Development Canada,Recherche et développement pour la défense Canada,,,
3566.0,Democratic Institutions,Institutions démocratiques,,,
2241.0,Department for Women and Gender Equality,Ministère des Femmes et de l’Égalité des genres,0.0,Ministère des Femmes et de l’Égalité des genres,1
2222.0,Department of Agriculture and Agri-Food,Ministère de l’Agriculture et de l’Agroalimentaire,1.0,Ministère de l’Agriculture et de l’Agroalimentaire,1
2223.0,Department of Canadian Heritage,Ministère du Patrimoine canadien,2.0,Ministère du Patrimoine canadien,1
2224.0,Department of Citizenship and Immigration,Ministère de la Citoyenneté et de l'Immigration,3.0,Ministère de la Citoyenneté et de l’Immigration,1
2230.0,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,4.0,Ministère des Relations Couronne-Autochtones et des Affaires du Nord,1
2229.0,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,5.0,Ministère de l’Emploi et du Développement social,1
2225.0,Department of Finance,Ministère des Finances,6.0,Ministère des Finances,1
2226.0,Department of Fisheries and Oceans,Ministère des Pêches et des Océans,7.0,Ministère des Pêches et des Océans,1
2227.0,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement",8.0,"Ministère des Affaires étrangères, du Commerce et du Développement",1
2228.0,Department of Health,Ministère de la Santé,9.0,Ministère de la Santé,1
2269.0,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",10.0,"Ministère du Logement, de l’Infrastructure et des Collectivités",1
2243.0,Department of Indigenous Services,Ministère des Services aux Autochtones,11.0,Ministère des Services aux Autochtones,1
2231.0,Department of Industry,Ministère de l'Industrie,12.0,Ministère de l’Industrie,1
2232.0,Department of Justice,Ministère de la Justice,13.0,Ministère de la Justice,1
2233.0,Department of National Defence,Ministère de la Défense nationale,14.0,Ministère de la Défense nationale,1
2234.0,Department of Natural Resources,Ministère des Ressources naturelles,15.0,Ministère des Ressources naturelles,1
2235.0,Department of Public Safety and Emergency Preparedness,Ministère de la Sécurité publique et de la Protection civile,16.0,Ministère de la Sécurité publique et de la Protection civile,1
2236.0,Department of Public Works and Government Services,Ministère des Travaux publics et des Services gouvernementaux,17.0,Ministère des Travaux publics et des Services gouvernementaux,1
2238.0,Department of Transport,Ministère des Transports,19.0,Ministère des Transports,1
2239.0,Department of Veterans Affairs,Ministère des Anciens Combattants,21.0,Ministère des Anciens Combattants,1
2240.0,Department of Western Economic Diversification,Ministère de la Diversification de l'économie de l'Ouest canadien,22.0,Ministère de la Diversification de l’économie de l’Ouest canadien,1
2237.0,Department of the Environment,Ministère de l'Environnement,18.0,Ministère de l’Environnement,1
3422.0,Director of Soldier Settlement,Directeur de l’établissement de soldats,22.0,Directeur de l’établissement de soldats,4
2257.0,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec,24.0,Agence de développement économique du Canada pour les régions du Québec,4
3461.0,Edmonton Regional Airports Authority,Edmonton Regional Airports Authority,,,
3686.0,Employment Insurance Boards of Referees,Conseils arbitraux de l’assurance-emploi,,,
3424.0,Energy Supplies Allocation Board,Office de répartition des approvisionnements d’énergie,25.0,Office de répartition des approvisionnements d’énergie,4
3668.0,Enterprise Cape Breton Corporation,Société d’expansion du Cap Breton,,,
3568.0,Environmental Protection Review Canada,Révision de la protection de l'environnement Canada,,,
3603.0,Environmental Protection Tribunal of Canada,Tribunal de la protection de I'environnement du Canada,,,
3402.0,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement,,,
3640.0,Export Development Canada,Exportation et développement Canada,17.0,Exportation et développement Canada,3
3616.0,Farm Credit Canada,Financement agricole Canada,18.0,Financement agricole Canada,3
3569.0,Federal Court of Appeal,Cour d'appel fédérale,,,
3570.0,Federal Court of Canada,Cour fédérale,,,
2299.0,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario,26.0,Agence fédérale de développement économique pour le Nord de l’Ontario,4
2258.0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l’Ontario,27.0,Agence fédérale de développement économique pour le Sud de l’Ontario,4
3427.0,Federal Judges not part of any department,Juges fédéraux ne faisant pas partie d'un ministère,,,
2259.0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,19.0,Agence de la consommation en matière financière du Canada,i1
2260.0,Financial Transactions and Reports Analysis Centre of Canada,Centre d’analyse des opérations et déclarations financières du Canada,20.0,Centre d’analyse des opérations et déclarations financières du Canada,i1
3524.0,First Nations Financial Management Board,Conseil de gestion financière des premières nations,,,
3669.0,First Nations Statistical Institute,Institut de la statistique des Premières nations,,,
3525.0,First Nations Tax Commission,Commission de la fiscalité des premières nations,,,
3462.0,Fredericton International Airport Authority Inc.,Fredericton International Airport Authority Inc.,,,
3638.0,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d’eau douce,20.0,Office de commercialisation du poisson d’eau douce,3
3463.0,Gander International Airport Authority Inc.,Gander International Airport Authority Inc.,,,
3604.0,Geographical Names Board of Canada,La Commission de toponymie du Canada,,,
3605.0,Geological Survey of Canada,Commission géologique du Canada,,,
3606.0,Geomatics Canada,Géomatique Canada,,,
3670.0,Grain Appeal Tribunal,Tribunal d'appel pour les grains,,,
3656.0,Great Lakes Pilotage Authority,Administration de pilotage des Grands Lacs,21.0,Administration de pilotage des Grands Lacs,3
3464.0,Greater London International Airport Authority,Greater London International Airport Authority,,,
3465.0,Greater Moncton International Airport Authority Inc.,Greater Moncton International Airport Authority Inc.,,,
3466.0,Greater Toronto Airports Authority,Autorité aéroportuaire du Grand Toronto,,,
3467.0,Halifax International Airport Authority,Administration de l'aéroport international d'Halifax,,,
3468.0,Halifax Port Authority,Administration portuaire d'Halifax,,,
3469.0,Hamilton Port Authority,Administration portuaire de Hamilton,,,
3671.0,Hazardous Materials Information Review Commission,Conseil de contrôle des renseignements relatifs aux matières dangereuses,,,
3526.0,Health Council of Canada,Conseil canadien de la santé,,,
3517.0,Healthcare Excellence Canada (HEC),Excellence en santé Canada (ESC),,,
3572.0,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,,,
3428.0,House of Commons,Chambre des communes,,,
2261.0,Immigration and Refugee Board,Commission de l’immigration et du statut de réfugié,28.0,Commission de l’immigration et du statut de réfugié,4
2245.0,Impact Assessment Agency of Canada,Agence canadienne d’évaluation d’impact,29.0,Agence canadienne d’évaluation d’impact,4
3573.0,Independent Review Panel for Defence Acquisition,Commission indépendante d’examen des acquisitions de la Défense,,,
3541.0,Indian Oil and Gas Canada,Pétrole et gaz des Indiens du Canada,11.0,Pétrole et gaz des Indiens Canada,5
3607.0,Indian Residential Schools Resolution Canada,Résolution des questions des pensionnats indiens Canada,,,
3672.0,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,,,
3546.0,Industrial Technologies Office,Office des technologies industrielles,,,
3470.0,Institut national du sport du Québec,Institut national du sport du Québec,,,
3403.0,Inter-American Development Bank,Banque interaméricaine de développement,,,
3574.0,Intergovernmental Affairs,Affaires intergouvernementales,,,
3471.0,Internal Trade Secretariat Corporation,Corporation du Secrétariat du commerce intérieur,,,
3404.0,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement,,,
3527.0,International Centre for Human Rights and Democratic Development,Centre international des droits de la personne et du développement démocratique,,,
3405.0,International Development Association,Association internationale de développement,,,
3641.0,International Development Research Centre,Centre de recherches pour le développement international,,,
3406.0,International Finance Corporation,Société financière internationale,,,
3472.0,International Fisheries Commissions Pension Society,Société de caisse de retraite de la Commission internationale des pêcheries,,,
3407.0,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),30.0,Commission mixte internationale (section canadienne),4
3408.0,International Lake Memphremagog Levels Board,Commission internationale du lac Memphrémagog,,,
3409.0,International Lake of the Woods Control Board,Conseil international de contrôle du lac des Bois,,,
3410.0,International Monetary Fund,Fonds monétaire international,,,
3673.0,Inuvialuit Arbitration Board,Commission d'arbitrage des Inuvialuit,,,
2317.0,Invest in Canada Hub,Investir au Canada,13.0,Investir au Canada,2
3412.0,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),Comité consultatif public mixte (CCPM) de la Commission de coopération environnementale (CCE),,,
3575.0,Judicial Compensation and Benefits Commission,Commission d'examen de la rémunération des juges,,,
3473.0,Lake of the Woods Control Board,Commission de contrôle du lac des Bois,,,
3531.0,Last Post Fund,Fonds du Souvenir,,,
3657.0,Laurentian Pilotage Authority,Administration de pilotage des Laurentides,23.0,Administration de pilotage des Laurentides,3
2310.0,Law Commission of Canada,Commission du droit du Canada,31.0,Commission du droit du Canada,4
3577.0,Leader of the Government in the House of Commons,Leader du gouvernement à la Chambre des communes,,,
2296.0,Leaders’ Debates Commission,Commission des débats des chefs,23.0,Commission des débats des chefs,i1
2262.0,Library and Archives of Canada,Bibliothèque et Archives du Canada,32.0,Bibliothèque et Archives du Canada,4
3429.0,Library of Parliament,Bibliothèque du Parlement,,,
3415.0,Lower Churchill Development Corporation Limited,Lower Churchill Development Corporation Limited,,,
3578.0,Management Advisory Board for the RCMP,Conseil consultatif de gestion pour la GRC,,,
3658.0,Marine Atlantic Inc.,Marine Atlantique S.C.C.,24.0,Marine Atlantique S.C.C.,3
3474.0,Maritime Forestry Complex Corporation,Société du complexe forestier des Maritimes,,,
3542.0,Measurement Canada,Mesures Canada,,,
3475.0,Mental Health Commission of Canada (MHCC),Commission de la santé mentale du Canada (CSMC),,,
3674.0,Merchant Seamen Compensation Board,Commission d'indemnisation des marins marchands,,,
3476.0,Milit-Air Inc.,Milit-Air Inc.,,,
