gc_orgID,rg,harmonized_name,nom_harmonisé,Abbreviation,Abreviation,infobaseID,website,site_web,open_gov_ouvert,ati,pop,phoenix
2269,142,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités Canada",HICC,LICC,0,,,infc,Office of Infrastructure of Canada,INF,INF00
2270,2,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,OAG,BVG,238,www.oag-bvg.gc.ca,www.oag-bvg.gc.ca,oag-bvg,Office of the Auditor General of Canada,AUD,AUD00
2271,15,Office of the Chief Electoral Officer,Bureau du directeur général des élections,elections,elections,239,www.elections.ca,www.elections.ca,elections,Office of the Chief Electoral Officer,CEO,CEO00
2272,51,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada,FJA,CMF,240,www.fja-cmf.gc.ca,www.fja-cmf.gc.ca,fja-cmf,Not Found,FJA,FJA00
2273,154,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,OCL,CAL,241,https://lobbycanada.gc.ca/en,https://lobbycanada.gc.ca/fr,ocl-cal,Office of the Commissioner of Lobbying,LOB,LOB00
2274,76,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,OCOL,CLO,242,www.officiallanguages.gc.ca/en,www.officiallanguages.gc.ca/fr,ocol-clo,Office of the Commissioner of Official Languages,COL,COL00
2275,197,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,,,244,https://www.canada.ca/en/intelligence-commissioner.html,https://www.canada.ca/fr/commissaire-renseignement.html,ocsec-bccst,Office of the Intelligence Commissioner of Canada,OLC,OLC00
2276,,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,OCI,BEC,247,www.oci-bec.gc.ca,www.oci-bec.gc.ca,oci-bec,Office of the Correctional Investigator of Canada,OCI,
2277,19,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,PPSC,SPPC,248,www.ppsc-sppc.gc.ca/,www.ppsc-sppc.gc.ca,ppsc-sppc,Public Prosecution Service of Canada,PPD,PPD00
2278,8,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,OSGG,BSGG,249,www.gg.ca,www.gg.ca,osgg-bsgg,Not Found,GGS,GGS00
2279,46,Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,PSIC,ISPC,250,www.psic-ispc.gc.ca,www.psic-ispc.gc.ca,psic-ispc,Office of the Public Sector Integrity Commissioner of Canada,INT,INT00
2280,11,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,OSFI,BSIF,253,https://www.osfi-bsif.gc.ca/en,https://www.osfi-bsif.gc.ca/fr,osfi-bsif,Office of the Superintendent of Financial Institutions Canada,SIF,SIF00
2281,96,Office of the Information Commissioner,Commissariat à l'information au Canada,,,0,,,oic-ci,Office of the Information Commissioner of Canada,IPC,IPC00
